City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
190,Faanui,PF,81.37,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
191,Bien Hoa,VN,76.98,10.95,106.8167,broken clouds,OYO 991 Duy Anh Hotel
197,Kang,BW,71.13,-23.6752,22.7876,overcast clouds,Kang Ultra Stop
198,Baki,ID,81.12,-7.6128,110.7839,overcast clouds,Rumah Batu Boutique Hotel
203,Amahai,ID,84.63,-3.3333,128.9167,overcast clouds,HOTEL ISABELA
209,Kavieng,PG,83.03,-2.5744,150.7967,light rain,Nusa Island Retreat
219,Vao,NC,76.69,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
221,Inongo,CD,70.09,-1.95,18.2667,moderate rain,Hotel Du Lac
228,Hervey Bay,AU,87.04,-25.2986,152.8535,scattered clouds,Shelly Bay Resort
231,Namatanai,PG,83.34,-3.6667,152.4333,moderate rain,Seagulls Inn Namatani
233,Buala,SB,84.94,-8.145,159.5921,light rain,Maringe Lagoon Lodge
237,Bowen,AU,88.02,-20.0167,148.2333,overcast clouds,Castle Motor Lodge Motel
247,Puerto El Triunfo,SV,83.32,13.2833,-88.55,overcast clouds,Hotel Jardin
253,Cockburn Town,TC,80.89,21.4612,-71.1419,clear sky,Osprey Beach Hotel
257,Ixhuatan,MX,75.99,16.3569,-94.4825,overcast clouds,Hotel D' Ángel
261,Hatillo,PR,78.78,18.4863,-66.8254,clear sky,Hotel Parador El Buen Cafe
265,Sao Jose Da Coroa Grande,BR,78.46,-8.8978,-35.1478,overcast clouds,Crôa Mares Hotel
270,Touros,BR,81.5,-5.1989,-35.4608,broken clouds,INN NEW HORIZON
273,Eyl,SO,72.43,7.9803,49.8164,clear sky,Amiin Hotel
276,Lakatoro,VU,84.11,-16.0999,167.4164,heavy intensity rain,Lakatoro Palm Lodge
287,Porto Velho,BR,77.05,-8.7619,-63.9039,few clouds,Hotel Central
296,Nisia Floresta,BR,81.41,-6.0911,-35.2086,broken clouds,Rancho Crepusculo
297,Sosua,DO,78.78,19.7667,-70.5167,scattered clouds,Piergiorgio Palace Hotel
301,Kassala,SD,72.46,15.451,36.4,clear sky,Amassi Hotel Gash
302,Cap Malheureux,MU,77.49,-19.9842,57.6142,few clouds,Pereybere Hotel & Spa
305,Mayumba,GA,77.34,-3.432,10.6554,light rain,LIKWALE LODGE
314,Sao Filipe,CV,74.73,14.8961,-24.4956,overcast clouds,Hotel Xaguate
321,Mucurapo,TT,77.97,10.6667,-61.5333,overcast clouds,Courtyard by Marriott Port of Spain
323,Saint-Pierre,RE,76.64,-21.3393,55.4781,scattered clouds,Lindsey Hôtel
325,Nicoya,CR,78.35,10.1483,-85.452,broken clouds,Las Cabinas Del Sueño
328,Trincomalee,LK,77.76,8.5711,81.2335,broken clouds,Welcombe Hotel
329,Grand-Lahou,CI,78.53,5.1367,-5.0242,light rain,Hotel Beatitude de Grand Lahou
333,Itarema,BR,80.69,-2.9248,-39.9167,overcast clouds,"Sea Lounge! Bar, Club & Restaurant"
343,Ambon,ID,86.14,-3.6954,128.1814,scattered clouds,Swiss-Belhotel Ambon
345,Hobyo,SO,77.54,5.3505,48.5268,few clouds,Halane Hotel and Restaurent
358,Manavalakurichi,IN,80.69,8.1333,77.3,overcast clouds,Muttom beach west
362,Nhulunbuy,AU,90.21,-12.2333,136.7667,broken clouds,East Arnhem Real Estate
363,Sigli,ID,80.08,5.3848,95.9609,overcast clouds,Losmen Dua Mali
364,Det Udom,TH,73.04,14.906,105.0784,few clouds,Chatsuda Resort
367,Sur,OM,71.65,22.5667,59.5289,clear sky,Sur Plaza Hotel
370,Sarishabari,BD,70.21,24.7333,89.8333,broken clouds,Bangali Telecom
371,Palauig,PH,80.96,15.435,119.9045,overcast clouds,Alperi Botique Resort
372,Geraldton,AU,81.01,-28.7667,114.6,clear sky,Broadwater Mariner Resort
373,Dzilam Gonzalez,MX,75.11,21.2833,-88.9333,overcast clouds,posadas
