City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
35,Port Elizabeth,ZA,2021-12-05 19:27:08,-33.918,25.5701,70.11,94,0,3.44
36,New Norfolk,AU,2021-12-05 19:24:15,-42.7826,147.0587,51.3,66,91,2.62
37,Egvekinot,RU,2021-12-05 19:31:35,66.3167,-179.1667,2.05,81,100,29.21
38,Lupsanu,RO,2021-12-05 19:33:14,44.3833,26.9,39.67,90,24,3.04
39,Vanavara,RU,2021-12-05 19:33:14,60.34,102.2797,3.78,96,100,2.93
40,Constitucion,CL,2021-12-05 19:23:25,-35.3333,-72.4167,70.9,52,3,6.13
41,Vaini,TO,2021-12-05 19:25:38,-21.2,-175.2,77.16,94,75,8.05
42,Kavaratti,IN,2021-12-05 19:31:32,10.5669,72.642,81.21,72,52,11.83
43,Port Hedland,AU,2021-12-05 19:25:16,-20.3167,118.5667,89.65,37,100,14.97
44,Lebu,CL,2021-12-05 19:24:11,-37.6167,-73.65,65.05,61,0,13.58
45,Balaghat,IN,2021-12-05 19:34:17,21.8,80.1833,63.52,70,0,2.75
46,Mackay,AU,2021-12-05 19:31:23,-21.15,149.2,76.98,73,40,11.5
47,Rikitea,PF,2021-12-05 19:34:18,-23.1203,-134.9692,75.96,75,97,7.83
48,Ribeira Grande,PT,2021-12-05 19:26:51,38.5167,-28.7,64.8,68,40,8.05
49,Hobart,AU,2021-12-05 19:34:19,-42.8794,147.3294,52.27,75,40,1.01
50,Praia,CV,2021-12-05 19:34:19,14.9215,-23.5087,75.74,73,0,14.97
51,Columbus,US,2021-12-05 19:32:31,39.9612,-82.9988,49.82,56,90,1.01
52,Kahului,US,2021-12-05 19:26:55,20.8947,-156.47,75.22,70,90,3.44
53,Iralaya,HN,2021-12-05 19:34:21,15.0,-83.2333,86.09,78,24,8.68
54,Sitka,US,2021-12-05 19:34:21,57.0531,-135.33,35.49,75,90,8.05
55,Petropavlovsk-Kamchatskiy,RU,2021-12-05 19:34:22,53.0452,158.6483,19.99,63,75,6.71
56,Kundiawa,PG,2021-12-05 19:34:22,-6.0167,144.9667,58.91,98,40,0.51
57,Bredasdorp,ZA,2021-12-05 19:34:23,-34.5322,20.0403,62.28,94,100,6.96
58,Asau,RO,2021-12-05 19:34:23,46.4333,26.4,34.95,84,100,3.38
59,Cidreira,BR,2021-12-05 19:30:00,-30.1811,-50.2056,72.97,81,38,15.9
60,Bowen,AU,2021-12-05 19:34:24,-20.0167,148.2333,73.62,68,6,13.87
61,Fortuna,US,2021-12-05 19:25:40,40.5982,-124.1573,50.67,93,90,0.0
62,Thompson,CA,2021-12-05 19:31:21,55.7435,-97.8558,-14.64,70,20,9.22
63,Taunggyi,MM,2021-12-05 19:34:25,20.7833,97.0333,53.94,89,9,2.39
64,Tautira,PF,2021-12-05 19:34:26,-17.7333,-149.15,84.22,72,54,17.49
65,Chuy,UY,2021-12-05 19:24:27,-33.6971,-53.4616,71.78,65,93,11.92
66,San Patricio,US,2021-12-05 19:32:43,28.017,-97.5169,84.61,62,100,17.2
67,Quatre Cocos,MU,2021-12-05 19:34:26,-20.2078,57.7625,79.09,70,25,13.22
68,Beloha,MG,2021-12-05 19:28:25,-25.1667,45.05,75.79,78,0,6.11
69,Provideniya,RU,2021-12-05 19:34:27,64.3833,-173.3,30.61,98,100,26.91
70,Aklavik,CA,2021-12-05 19:25:45,68.2191,-135.0107,-13.97,69,20,6.91
71,Union De Reyes,CU,2021-12-05 19:34:28,22.7953,-81.5375,84.38,42,1,5.73
72,Mbekenyera,TZ,2021-12-05 19:34:28,-10.0,38.9833,73.53,86,100,5.12
73,Collipulli,CL,2021-12-05 19:31:28,-37.95,-72.4333,93.4,12,0,7.49
74,Faanui,PF,2021-12-05 19:26:56,-16.4833,-151.75,80.46,73,84,17.09
75,Tatarsk,RU,2021-12-05 19:34:29,55.219,75.9828,24.64,89,67,11.81
76,Ariquemes,BR,2021-12-05 19:34:30,-9.9133,-63.0408,75.85,97,100,1.21
77,Nishihara,JP,2021-12-05 19:34:30,26.1842,127.7558,67.28,66,75,10.36
78,Ormond Beach,US,2021-12-05 19:32:55,29.2858,-81.0559,82.17,59,20,6.91
79,Agirish,RU,2021-12-05 19:34:31,61.9247,63.0231,-6.32,98,100,2.91
80,Bambous Virieux,MU,2021-12-05 19:26:42,-20.3428,57.7575,79.21,73,40,8.05
81,Saskylakh,RU,2021-12-05 19:25:48,71.9167,114.0833,-23.33,95,100,9.73
82,Villarrica,PY,2021-12-05 19:34:31,-25.75,-56.4333,95.09,31,32,9.04
83,Anadyr,RU,2021-12-05 19:34:32,64.75,177.4833,14.5,92,90,31.0
84,Arraial Do Cabo,BR,2021-12-05 19:25:17,-22.9661,-42.0278,82.36,74,0,17.27
85,Grenville,GD,2021-12-05 19:34:33,12.1167,-61.6167,86.05,75,28,20.89
86,Teknaf,BD,2021-12-05 19:34:34,20.8624,92.3058,74.21,85,85,4.63
87,Lagoa,PT,2021-12-05 19:34:34,39.05,-27.9833,63.27,75,60,11.27
88,Tahta,EG,2021-12-05 19:30:51,26.7693,31.5021,60.55,50,100,6.26
89,Fairbanks,US,2021-12-05 19:35:02,64.8378,-147.7164,1.24,78,1,0.0
90,Koslan,RU,2021-12-05 19:31:05,63.4564,48.8989,13.33,91,89,7.09
91,Yichang,CN,2021-12-05 19:35:35,30.7144,111.2847,51.1,66,0,3.09
92,Upernavik,GL,2021-12-05 19:25:03,72.7868,-56.1549,27.75,73,100,1.41
93,Avera,US,2021-12-05 19:32:24,33.194,-82.5271,74.08,60,100,5.88
94,Ushuaia,AR,2021-12-05 19:35:36,-54.8,-68.3,46.06,71,75,18.41
95,Renfrew,GB,2021-12-05 19:34:59,55.872,-4.3925,31.96,90,40,1.14
96,Geraldton,AU,2021-12-05 19:35:37,-28.7667,114.6,68.41,83,3,14.97
97,Inhambane,MZ,2021-12-05 19:35:37,-23.865,35.3833,78.76,80,0,15.08
98,Ios,GR,2021-12-05 19:35:37,36.7333,25.2833,63.37,62,10,8.99
