City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Klaksvik,FO,2021-12-03 01:40:41,62.2266,-6.589,38.32,73,100,19.28,overcast clouds
138,Fortuna,US,2021-12-03 01:40:41,40.5982,-124.1573,52.41,75,90,1.01,overcast clouds
139,Katsuura,JP,2021-12-03 01:40:42,35.1333,140.3,61.2,68,90,8.43,overcast clouds
140,Vardo,NO,2021-12-03 01:40:42,70.3705,31.1107,27.45,58,100,16.26,light snow
141,Yar-Sale,RU,2021-12-03 01:40:43,66.8333,70.8333,0.7,95,100,15.57,overcast clouds
142,Itupiranga,BR,2021-12-03 01:40:43,-5.1347,-49.3267,75.51,92,90,0.98,overcast clouds
143,Oksfjord,NO,2021-12-03 01:40:44,70.2396,22.3479,23.92,80,88,6.64,overcast clouds
144,Hithadhoo,MV,2021-12-03 01:40:44,-0.6,73.0833,81.81,75,49,5.73,scattered clouds
145,Usak,TR,2021-12-03 01:40:45,38.5,29.4167,43.14,58,100,4.7,overcast clouds
146,Noumea,NC,2021-12-03 01:40:45,-22.2763,166.4572,84.99,99,92,7.85,overcast clouds
147,Pell City,US,2021-12-03 01:37:52,33.5862,-86.2861,59.31,80,1,0.0,clear sky
148,Vila Velha,BR,2021-12-03 01:40:46,-20.3297,-40.2925,76.95,88,75,5.01,broken clouds
149,Tura,IN,2021-12-03 01:40:47,25.5198,90.2201,67.55,68,16,1.81,few clouds
150,El Campo,US,2021-12-03 01:40:48,29.1966,-96.2697,69.15,94,1,5.75,clear sky
151,Bengkulu,ID,2021-12-03 01:40:48,-3.8004,102.2655,81.59,67,73,4.43,broken clouds
152,Verkhniy Avzyan,RU,2021-12-03 01:40:49,53.5289,57.5372,23.76,94,100,9.26,light snow
153,Provideniya,RU,2021-12-03 01:40:49,64.3833,-173.3,19.51,79,90,17.9,heavy snow
154,Lardos,GR,2021-12-03 01:40:49,36.0942,28.0157,58.82,71,0,6.24,clear sky
155,Keetmanshoop,NA,2021-12-03 01:40:50,-26.5833,18.1333,71.8,19,4,21.61,clear sky
156,Gambela,ET,2021-12-03 01:40:50,8.25,34.5833,77.13,49,37,3.42,scattered clouds
157,Soloneshnoye,RU,2021-12-03 01:40:51,51.6544,84.3197,23.92,69,15,8.19,few clouds
158,Aripuana,BR,2021-12-03 01:40:51,-9.1667,-60.6333,73.67,98,100,0.92,overcast clouds
159,Hasaki,JP,2021-12-03 01:40:52,35.7333,140.8333,54.28,73,94,10.74,overcast clouds
160,Savannah Bight,HN,2021-12-03 01:40:52,16.45,-85.85,77.0,74,34,4.88,scattered clouds
161,Luanda,AO,2021-12-03 01:39:20,-8.8368,13.2343,78.1,80,100,8.55,overcast clouds
162,Hearst,CA,2021-12-03 01:40:53,49.6835,-83.6665,3.45,90,76,6.64,broken clouds
163,Farakka,IN,2021-12-03 01:40:53,24.8167,87.9,68.47,62,70,3.31,broken clouds
164,Alta Floresta,BR,2021-12-03 01:40:54,-9.8756,-56.0861,71.76,96,100,1.92,overcast clouds
165,Christiana,ZA,2021-12-03 01:40:55,-27.914,25.1611,69.04,65,100,7.47,overcast clouds
166,Ponta Do Sol,PT,2021-12-03 01:40:55,32.6667,-17.1,64.71,70,14,7.45,few clouds
167,Gornyy,RU,2021-12-03 01:40:55,55.1153,83.9059,29.79,67,100,21.0,overcast clouds
168,Mehamn,NO,2021-12-03 01:40:56,71.0357,27.8492,24.6,72,100,8.84,light snow
169,Pevek,RU,2021-12-03 01:40:56,69.7008,170.3133,14.2,86,100,11.27,light snow
170,Gazanjyk,TM,2021-12-03 01:40:57,39.2446,55.5154,42.22,91,100,10.65,overcast clouds
171,Bindura,ZW,2021-12-03 01:40:57,-17.3019,31.3306,70.02,74,3,1.39,clear sky
172,Banjar,ID,2021-12-03 01:40:58,-8.19,114.9675,84.06,87,100,4.92,light rain
173,Hat Yai,TH,2021-12-03 01:40:58,7.0084,100.4767,75.38,100,75,0.0,broken clouds
174,Sisophon,KH,2021-12-03 01:40:58,13.5859,102.9737,69.19,68,86,11.12,overcast clouds
175,Ulladulla,AU,2021-12-03 01:40:59,-35.35,150.4667,74.77,83,100,10.31,overcast clouds
176,Acapulco,MX,2021-12-03 01:40:59,16.8634,-99.8901,82.22,69,1,6.91,clear sky
177,Leninskoye,KZ,2021-12-03 01:42:00,41.7589,69.3864,55.33,27,100,1.34,overcast clouds
178,Penzance,GB,2021-12-03 01:42:00,50.1186,-5.5371,51.76,96,100,26.91,light rain
179,Libreville,GA,2021-12-03 01:42:01,0.3925,9.4537,77.02,100,20,5.75,thunderstorm
180,Lasa,IT,2021-12-03 01:42:01,46.6166,10.7002,31.08,94,85,6.93,overcast clouds
181,Upernavik,GL,2021-12-03 01:42:02,72.7868,-56.1549,21.16,88,100,25.68,light snow
182,Salinopolis,BR,2021-12-03 01:39:17,-0.6136,-47.3561,79.23,82,11,6.15,few clouds
183,Santa Catarina De Tepehuanes,MX,2021-12-03 01:42:03,25.35,-105.7333,55.74,66,3,2.26,clear sky
184,Tazovskiy,RU,2021-12-03 01:42:04,67.4667,78.7,3.74,95,100,15.08,light snow
185,Sierpc,PL,2021-12-03 01:42:04,52.8568,19.6691,32.79,84,97,13.02,overcast clouds
186,Tres Passos,BR,2021-12-03 01:42:04,-27.4556,-53.9319,65.82,61,0,11.07,clear sky
187,Sorong,ID,2021-12-03 01:42:05,-0.8833,131.25,79.52,84,100,1.21,moderate rain
188,Husavik,IS,2021-12-03 01:42:05,66.0449,-17.3389,37.31,85,100,12.01,overcast clouds
189,Henties Bay,NA,2021-12-03 01:42:06,-22.116,14.2845,58.86,86,80,3.49,broken clouds
190,Faanui,PF,2021-12-03 01:38:50,-16.4833,-151.75,81.37,73,78,20.51,light rain
191,Bien Hoa,VN,2021-12-03 01:38:10,10.95,106.8167,76.98,69,54,8.14,broken clouds
192,Omsukchan,RU,2021-12-03 01:42:07,62.5333,155.8,-24.81,91,100,7.27,overcast clouds
193,Eureka,US,2021-12-03 01:42:07,40.8021,-124.1637,51.64,95,7,1.01,clear sky
194,Guerrero Negro,MX,2021-12-03 01:42:08,27.9769,-114.0611,63.01,83,3,10.63,clear sky
195,Cizre,TR,2021-12-03 01:42:08,37.3272,42.1903,47.64,50,0,2.24,clear sky
196,Naze,JP,2021-12-03 01:42:08,28.3667,129.4833,63.52,53,88,13.8,overcast clouds
197,Kang,BW,2021-12-03 01:42:09,-23.6752,22.7876,71.13,65,100,7.58,overcast clouds
198,Baki,ID,2021-12-03 01:42:10,-7.6128,110.7839,81.12,77,100,6.22,overcast clouds
199,Vanavara,RU,2021-12-03 01:42:10,60.34,102.2797,25.52,93,100,10.45,light snow
200,General Roca,AR,2021-12-03 01:42:11,-39.0333,-67.5833,68.4,33,94,18.23,overcast clouds
201,Greeneville,US,2021-12-03 01:42:11,36.1632,-82.831,59.07,51,20,4.61,few clouds
202,Baruun-Urt,MN,2021-12-03 01:42:12,46.6806,113.2792,22.84,59,21,8.81,few clouds
